"Label (Grouping)","ZCTA5 02118!!Households!!Estimate","ZCTA5 02118!!Households!!Margin of Error","ZCTA5 02118!!Families!!Estimate","ZCTA5 02118!!Families!!Margin of Error","ZCTA5 02118!!Married-couple families!!Estimate","ZCTA5 02118!!Married-couple families!!Margin of Error","ZCTA5 02118!!Nonfamily households!!Estimate","ZCTA5 02118!!Nonfamily households!!Margin of Error","ZCTA5 02119!!Households!!Estimate","ZCTA5 02119!!Households!!Margin of Error","ZCTA5 02119!!Families!!Estimate","ZCTA5 02119!!Families!!Margin of Error","ZCTA5 02119!!Married-couple families!!Estimate","ZCTA5 02119!!Married-couple families!!Margin of Error","ZCTA5 02119!!Nonfamily households!!Estimate","ZCTA5 02119!!Nonfamily households!!Margin of Error","ZCTA5 02121!!Households!!Estimate","ZCTA5 02121!!Households!!Margin of Error","ZCTA5 02121!!Families!!Estimate","ZCTA5 02121!!Families!!Margin of Error","ZCTA5 02121!!Married-couple families!!Estimate","ZCTA5 02121!!Married-couple families!!Margin of Error","ZCTA5 02121!!Nonfamily households!!Estimate","ZCTA5 02121!!Nonfamily households!!Margin of Error","ZCTA5 02125!!Households!!Estimate","ZCTA5 02125!!Households!!Margin of Error","ZCTA5 02125!!Families!!Estimate","ZCTA5 02125!!Families!!Margin of Error","ZCTA5 02125!!Married-couple families!!Estimate","ZCTA5 02125!!Married-couple families!!Margin of Error","ZCTA5 02125!!Nonfamily households!!Estimate","ZCTA5 02125!!Nonfamily households!!Margin of Error","ZCTA5 02215!!Households!!Estimate","ZCTA5 02215!!Households!!Margin of Error","ZCTA5 02215!!Families!!Estimate","ZCTA5 02215!!Families!!Margin of Error","ZCTA5 02215!!Married-couple families!!Estimate","ZCTA5 02215!!Married-couple families!!Margin of Error","ZCTA5 02215!!Nonfamily households!!Estimate","ZCTA5 02215!!Nonfamily households!!Margin of Error"
"Total","13,847","±669","4,977","±385","3,087","±371","8,870","±697","11,953","±619","5,725","±503","2,370","±344","6,228","±561","10,718","±644","6,496","±633","2,277","±532","4,222","±492","12,986","±573","6,785","±446","3,389","±397","6,201","±499","7,931","±567","1,572","±315","1,235","±255","6,359","±568"
"    Less than $10,000","10.1%","±1.9","9.9%","±3.1","4.0%","±3.1","10.3%","±2.2","17.5%","±2.8","7.0%","±2.6","2.3%","±1.6","27.1%","±5.0","15.0%","±3.4","12.4%","±4.7","9.9%","±11.5","19.9%","±5.4","11.6%","±2.0","7.2%","±2.9","5.5%","±4.4","17.1%","±3.5","21.2%","±3.8","3.4%","±2.3","1.5%","±1.8","25.8%","±4.7"
"    $10,000 to $14,999","10.0%","±2.9","4.4%","±1.7","4.3%","±2.1","13.0%","±4.3","11.4%","±2.9","7.4%","±3.8","6.4%","±5.0","17.9%","±4.5","8.8%","±2.6","4.9%","±2.4","1.0%","±0.9","14.7%","±4.7","8.3%","±2.2","7.7%","±3.0","3.7%","±2.4","8.9%","±2.8","5.1%","±2.0","2.6%","±4.1","3.3%","±5.2","5.8%","±2.2"
"    $15,000 to $24,999","10.5%","±2.7","9.6%","±3.7","6.9%","±4.8","11.0%","±3.2","10.8%","±2.2","10.1%","±3.5","9.2%","±5.9","10.7%","±2.7","11.5%","±3.3","11.2%","±3.8","7.0%","±5.6","13.4%","±5.9","9.1%","±2.1","8.9%","±2.8","4.7%","±2.3","9.3%","±3.1","6.4%","±1.7","2.0%","±1.6","1.3%","±1.5","7.5%","±2.1"
"    $25,000 to $34,999","4.2%","±1.6","5.1%","±2.6","3.5%","±2.7","3.8%","±1.9","10.3%","±3.0","10.4%","±3.3","5.3%","±3.0","9.2%","±4.0","11.8%","±2.7","11.7%","±3.2","8.1%","±5.0","12.2%","±4.7","6.2%","±1.5","4.6%","±1.5","4.9%","±2.0","8.0%","±2.7","5.1%","±1.8","3.2%","±2.7","3.4%","±3.3","5.6%","±2.3"
"    $35,000 to $49,999","7.5%","±2.6","9.7%","±4.1","8.1%","±5.1","6.2%","±3.4","12.2%","±2.8","10.6%","±3.4","10.9%","±5.0","13.1%","±4.3","7.3%","±2.0","9.0%","±2.6","6.9%","±4.4","5.5%","±2.9","8.7%","±1.6","10.6%","±2.5","8.7%","±3.8","7.5%","±2.2","7.8%","±3.0","10.8%","±12.7","2.3%","±3.4","7.1%","±2.1"
"    $50,000 to $74,999","9.4%","±2.1","7.7%","±2.7","6.2%","±2.9","10.3%","±2.8","12.2%","±2.5","17.2%","±3.9","11.6%","±4.1","7.9%","±2.6","11.5%","±2.6","11.1%","±3.2","11.6%","±5.4","12.6%","±4.7","12.9%","±2.1","13.4%","±3.2","10.6%","±3.5","12.2%","±2.7","13.0%","±2.6","8.8%","±5.2","7.8%","±5.3","14.1%","±3.2"
"    $75,000 to $99,999","7.7%","±1.7","11.4%","±3.0","6.1%","±2.5","5.6%","±2.0","8.0%","±2.0","11.9%","±3.2","13.0%","±4.6","4.8%","±2.1","7.9%","±2.4","8.1%","±3.1","4.0%","±2.7","7.6%","±4.1","9.3%","±1.9","11.6%","±3.0","14.0%","±5.1","7.5%","±2.1","10.2%","±3.8","9.3%","±5.5","11.8%","±6.9","10.3%","±4.9"
"    $100,000 to $149,999","8.2%","±1.9","6.1%","±3.1","6.7%","±3.5","9.4%","±2.1","10.0%","±2.1","14.7%","±3.4","22.2%","±7.1","5.7%","±2.1","13.5%","±3.3","17.4%","±5.0","25.5%","±11.1","6.3%","±2.5","14.8%","±2.0","15.8%","±3.1","20.1%","±5.3","12.8%","±3.5","14.0%","±4.3","16.0%","±5.6","15.1%","±5.9","13.6%","±5.0"
"    $150,000 to $199,999","10.1%","±1.9","9.0%","±2.9","13.8%","±4.5","10.9%","±2.5","4.1%","±1.1","5.4%","±2.2","9.2%","±4.5","2.2%","±1.0","6.0%","±1.9","5.9%","±2.5","9.6%","±5.8","4.3%","±3.4","9.7%","±1.7","9.4%","±2.8","12.6%","±4.1","9.4%","±2.2","7.2%","±1.8","17.2%","±5.6","20.8%","±6.5","4.7%","±1.8"
"    $200,000 or more","22.4%","±2.8","27.1%","±4.4","40.4%","±6.5","19.6%","±3.8","3.4%","±1.2","5.4%","±2.0","9.8%","±4.0","1.3%","±1.1","6.6%","±3.0","8.3%","±4.7","16.6%","±11.9","3.4%","±3.3","9.4%","±1.7","10.8%","±2.5","15.3%","±3.8","7.3%","±2.1","9.8%","±2.5","26.7%","±8.4","32.7%","±8.4","5.7%","±2.3"
"Median income (dollars)","71,096","±9,662","80,399","±6,575","161,175","±19,473","62,619","±13,791","34,987","±6,530","54,627","±10,876","84,510","±15,523","18,706","±4,374","40,732","±7,490","51,214","±11,012","106,445","±54,492","26,088","±5,175","60,612","±7,751","70,043","±8,132","90,742","±17,481","47,376","±9,541","58,466","±9,404","126,429","±49,492","152,364","±39,047","44,432","±13,196"
"Mean income (dollars)","142,087","±12,265","185,843","±25,238","N","N","115,913","±12,957","58,959","±5,607","78,864","±10,247","N","N","37,929","±5,028","70,568","±7,882","76,904","±9,692","N","N","54,446","±14,417","90,420","±5,811","95,767","±8,130","117,183","±12,137","80,899","±7,833","86,609","±9,478","162,210","±30,013","N","N","67,666","±9,185"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","37.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","55.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","41.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","48.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","63.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.1%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","35.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.2%","(X)"
