zip_code,TotalPopulation,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CERVICAL_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
2109,3771,4.7,16.6,22.2,20.1,65.7,5.8,9.7,85.3,4.0,74.5,89.9,83.2,3.3,8.7,77.0,18.9,5.4,6.7,21.9,2.0,12.8,82.8,12.5,17.6,5.6,27.7,1.7,6.8
2111,7383,7.8,16.1,16.7,23.0,72.6,4.1,9.5,72.7,4.5,75.2,85.2,74.4,4.0,12.8,63.5,16.8,8.9,11.3,25.9,2.2,22.8,79.4,13.6,15.8,7.1,32.0,2.3,11.2
2113,6915,4.2,11.3,25.5,13.7,60.3,4.1,10.1,83.8,2.5,71.7,87.3,84.0,2.2,7.2,79.2,20.6,3.1,4.8,17.6,1.4,10.2,83.0,13.8,15.4,4.2,26.1,1.1,5.8
2118,26498,8.9,16.6,19.7,23.6,66.9,4.1,11.0,81.2,4.2,74.9,86.6,76.8,4.3,14.2,63.6,19.0,8.4,12.6,23.4,2.4,21.0,83.0,14.7,22.7,8.1,33.1,2.4,12.7
2119,25346,13.9,24.1,15.0,34.6,75.2,4.9,14.1,81.3,6.3,80.1,87.8,75.0,7.1,19.6,52.8,19.9,14.5,22.4,27.0,3.9,31.5,84.0,17.5,31.7,12.8,39.8,4.5,24.4
2124,47783,10.8,21.9,15.8,31.5,73.3,5.0,13.2,83.0,5.2,79.8,89.2,78.0,5.7,17.3,59.4,19.0,11.6,16.9,25.9,3.1,26.4,83.8,16.2,28.4,10.3,38.7,3.5,17.8
2127,31799,6.4,15.7,22.8,19.0,66.4,4.9,10.6,84.6,3.6,73.4,88.2,79.4,3.7,11.0,73.0,20.6,5.6,8.7,22.7,1.9,15.4,81.8,14.2,19.0,6.5,29.0,1.8,8.9
2128,40508,16.3,17.5,20.1,22.4,65.8,4.5,11.0,80.9,4.7,72.7,84.9,73.3,5.1,16.3,59.1,20.2,8.3,15.4,24.4,2.5,25.7,79.9,16.0,24.4,9.5,33.0,2.4,17.8
2130,35401,7.2,17.3,20.0,21.7,70.0,5.2,10.7,85.1,4.0,75.6,89.4,80.0,3.8,10.9,71.8,19.4,7.1,9.9,24.7,2.3,17.2,83.7,13.8,20.9,7.0,30.1,2.1,9.5
2132,25861,5.5,23.1,18.0,26.5,75.2,7.9,10.2,86.5,5.6,78.3,92.7,81.2,4.9,10.7,75.3,18.6,7.8,9.4,29.6,2.7,16.9,81.6,12.2,19.5,7.5,28.8,2.5,9.1
2135,42780,6.1,13.4,22.4,17.2,64.6,4.2,10.5,79.4,3.3,73.0,85.4,80.5,3.1,9.7,72.1,20.0,4.9,7.5,20.0,1.8,14.8,81.3,14.6,16.9,5.6,28.7,1.6,9.1
2139,36349,5.5,12.1,18.9,18.2,61.7,3.7,9.8,83.2,2.6,72.3,87.2,79.3,2.5,8.1,74.5,17.2,4.8,6.4,19.5,1.6,13.3,87.1,13.3,19.2,5.1,28.6,1.4,7.5
2163,2582,8.1,4.8,24.9,9.1,24.1,0.9,12.0,70.1,0.9,68.7,74.3,77.5,2.0,12.6,60.6,22.9,1.6,7.3,9.7,0.8,16.9,83.0,19.8,16.6,4.9,32.8,0.6,12.8
2215,26125,6.7,7.0,22.5,10.5,37.1,1.7,12.2,68.9,1.6,71.9,76.7,78.6,2.3,9.5,67.9,23.1,2.6,7.0,11.1,1.1,15.5,81.1,19.0,14.8,5.0,29.6,0.9,11.0
