Zipcode,Estimated_Total_Housing_Units,Estimated_Total_Occupied_Housing_Units,Estimated_Total_Vacant_Housing_Units,Percent_Total_Occupied_Housing_Units,Percent_Total_Vacant_Housing_Units,Estimated_Total_Occupied_Housing_Units_No_Vechile,Estimated_Total_Occupied_Housing_Units_1_Vechile,Estimated_Total_Occupied_Housing_Units_2_Vechiles,Estimated_Total_Occupied_Housing_Units_3_or_more_Vechiles,Percent_Total_Occupied_Housing_Units_No_Vechile,Percent_Total_Occupied_Housing_Units_1_Vechile,Percent_Total_Occupied_Housing_Units_2_Vechiles,Percent_Total_Occupied_Housing_Units_3_or_more_Vechiles,Estimated_Total_Occupied_Housing_Utility gas,"Estimated_Total_Occupied_Housing_Bottled, tank, or LP gas",Estimated_Total_Occupied_Housing_Electricity,"Estimated_Total_Occupied_Housing_Fuel oil, kerosene, etc.",Estimated_Total_Occupied_Housing_Coal or coke,Estimated_Total_Occupied_Housing_Wood,Estimated_Total_Occupied_Housing_Solar energy,Estimated_Total_Occupied_Housing_Other fuel,Estimated_Total_Occupied_Housing_No fuel used,Percent_Total_Occupied_Housing_Utility gas,"Percent_Total_Occupied_Housing_Bottled, tank, or LP gas",Percent_Total_Occupied_Housing_Electricity,"Percent_Total_Occupied_Housing_Fuel oil, kerosene, etc.",Percent_Total_Occupied_Housing_Coal or coke,Percent_Total_Occupied_Housing_Wood,Percent_Total_Occupied_Housing_Solar energy,Percent_Total_Occupied_Housing_Other fuel,Percent_Total_Occupied_Housing_No fuel used,Estimated_Occupants_per_Room_1.00 or less,Estimated_Occupants_per_Room_1.01 to 1.50,Estimated_Occupants_per_Room_1.51 or more,Percent_Occupants_per_Room_1.00 or less,Percent_Occupants_per_Room_1.01 to 1.50,Percent_Occupants_per_Room_1.51 or more
02045,5702,4380,1322,76.8,23.2,163,1780,1542,895,3.7,40.6,35.2,20.4,3149,164,323,684,0,25,0,7,28,71.9,3.7,7.4,15.6,0,0.6,0,0.2,0.6,4348,32,0,99.3,0.7,0
02108,2311,1905,406,82.4,17.6,920,681,231,73,48.3,35.7,12.1,3.8,1207,39,503,105,0,0,0,11,40,63.4,2,26.4,5.5,0,0,0,0.6,2.1,1878,27,0,98.6,1.4,0
02109,2727,1958,769,71.8,28.2,886,844,221,7,45.3,43.1,11.3,0.4,616,40,1158,110,0,0,0,30,4,31.5,2,59.1,5.6,0,0,0,1.5,0.2,1886,51,21,96.3,2.6,1.1
02110,1641,1282,359,78.1,21.9,460,599,188,35,35.9,46.7,14.7,2.7,750,0,442,44,0,0,0,11,35,58.5,0,34.5,3.4,0,0,0,0.9,2.7,1266,16,0,98.8,1.2,0
02111,4515,3515,1000,77.9,22.1,2131,1270,114,0,60.6,36.1,3.2,0,1387,21,2048,12,0,0,0,19,28,39.5,0.6,58.3,0.3,0,0,0,0.5,0.8,3207,105,203,91.2,3,5.8
02113,4600,4025,575,87.5,12.5,2336,1199,444,46,58,29.8,11,1.1,1967,130,1723,160,0,0,0,6,39,48.9,3.2,42.8,4,0,0,0,0.1,1,3931,7,87,97.7,0.2,2.2
02114,9068,7358,1710,81.1,18.9,4291,2796,229,42,58.3,38,3.1,0.6,2893,77,3477,510,0,0,0,160,241,39.3,1,47.3,6.9,0,0,0,2.2,3.3,7122,47,189,96.8,0.6,2.6
02115,10869,9455,1414,87,13,6033,3066,345,11,63.8,32.4,3.6,0.1,3630,132,4908,442,13,0,0,60,270,38.4,1.4,51.9,4.7,0.1,0,0,0.6,2.9,9239,53,163,97.7,0.6,1.7
02116,14288,11707,2581,81.9,18.1,5364,4877,1258,208,45.8,41.7,10.7,1.8,4528,247,5828,827,9,3,4,94,167,38.7,2.1,49.8,7.1,0.1,0,0,0.8,1.4,11446,77,184,97.8,0.7,1.6
02118,15258,13847,1411,90.8,9.2,5288,6881,1399,279,38.2,49.7,10.1,2,5800,94,7064,498,0,0,23,64,304,41.9,0.7,51,3.6,0,0,0.2,0.5,2.2,13413,146,288,96.9,1.1,2.1
