Zipcode,Estimated_Total_Population,Estimated_Total_Population_Male,Estimated_Total_Population_Female,Estimated_Total_Population_White,Estimated_Total_Population_Black or African American,Estimated_Total_Population_American Indian and Alaska Native,Estimated_Total_Population_Asian,Estimated_Total_Population_Native Hawaiian and Other Pacific Islander,Estimated_Total_Population_Some other race,Estimated_Total_Population_Two or more races,Estimated_Total_population_Hispanic_or_Latino,Estimated_Total_population_Not_Hispanic_or_Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimated_Total_population_Hispanic_or_Latino_Cuban,Estimated_Total_population_Hispanic_or_Latino_Puerto Rican,Estimated_Total_population_Hispanic_or_Latino_Mexican,Estimated_Total_population_Not_Hispanic_or_Latino_White alone,Estimated_Total_population_Not_Hispanic_or_Latino_Black or African American alone,Estimated_Total_population_Not_Hispanic_or_Latino_American Indian and Alaska Native alone,Estimated_Total_population_Not_Hispanic_or_Latino_Asian alone,Estimated_Total_population_Not_Hispanic_or_Latino_Native Hawaiian and Other Pacific Islander alone,Estimated_Total_population_Not_Hispanic_or_Latino_Some other race alone,Estimated_Total_population_Not_Hispanic_or_Latino_Two or more races,Percent_Total_population_Hispanic_or_Latino_Other Hispanic or Latino,Percent_Total_population_Hispanic_or_Latino_Cuban,Percent_Total_population_Hispanic_or_Latino_Puerto Rican,Percent_Total_population_Hispanic_or_Latino_Mexican,Percent_Total_population_Not_Hispanic_or_Latino_White alone,Percent_Total_population_Not_Hispanic_or_Latino_Black or African American alone,Percent_Total_population_Not_Hispanic_or_Latino_American Indian and Alaska Native alone,Percent_Total_population_Not_Hispanic_or_Latino_Asian alone,Percent_Total_population_Not_Hispanic_or_Latino_Native Hawaiian and Other Pacific Islander alone,Percent_Total_population_Not_Hispanic_or_Latino_Some other race alone,Percent_Total_population_Not_Hispanic_or_Latino_Two or more races
02045,10120,4632,5488,9711,35,0,137,0,81,156,106,10014,75,0,10,21,9646,35,0,137,0,40,156,0.7,0,0.1,0.2,95.3,0.3,0,1.4,0,0.4,1.5
02108,4225,2131,2094,3477,229,0,219,0,157,143,297,3928,158,12,127,0,3395,209,0,219,0,34,71,3.7,0.3,3,0,80.4,4.9,0,5.2,0,0.8,1.7
02109,3627,1778,1849,3141,37,0,313,0,10,126,57,3570,57,0,0,0,3109,27,0,313,0,10,111,1.6,0,0,0,85.7,0.7,0,8.6,0,0.3,3.1
02110,2307,1093,1214,2058,51,0,99,14,19,66,62,2245,62,0,0,0,2027,51,0,99,14,19,35,2.7,0,0,0,87.9,2.2,0,4.3,0.6,0.8,1.5
02111,7841,3593,4248,3191,167,27,3785,0,182,489,689,7152,481,0,130,78,2939,147,27,3758,0,0,281,6.1,0,1.7,1,37.5,1.9,0.3,47.9,0,0,3.6
02113,6726,3066,3660,5936,239,11,250,0,192,98,650,6076,355,24,30,241,5553,226,11,250,0,17,19,5.3,0.4,0.4,3.6,82.6,3.4,0.2,3.7,0,0.3,0.3
02114,13401,7171,6230,10485,554,11,1137,0,441,773,1281,12120,667,178,287,149,9915,540,11,1137,0,60,457,5,1.3,2.1,1.1,74,4,0.1,8.5,0,0.4,3.4
02115,28559,14003,14556,17227,2272,47,5217,119,1381,2296,4181,24378,2435,171,1085,490,15671,1948,40,5147,119,233,1220,8.5,0.6,3.8,1.7,54.9,6.8,0.1,18,0.4,0.8,4.3
02116,22587,10372,12215,15959,1091,39,3135,89,652,1622,1775,20812,1014,67,418,276,15304,1027,39,3133,89,114,1106,4.5,0.3,1.9,1.2,67.8,4.5,0.2,13.9,0.4,0.5,4.9
02118,27718,13776,13942,13808,4819,254,4469,0,2574,1794,4994,22724,2737,84,1906,267,12340,4631,222,4453,0,206,872,9.9,0.3,6.9,1,44.5,16.7,0.8,16.1,0,0.7,3.1
02119,28307,13280,15027,5214,14378,546,554,14,4224,3377,9161,19146,5574,118,3303,166,3578,12961,417,554,0,389,1247,19.7,0.4,11.7,0.6,12.6,45.8,1.5,2,0,1.4,4.4
02120,15082,7317,7765,6586,3257,95,2378,0,1957,809,3529,11553,1652,85,1530,262,5492,2988,81,2378,0,279,335,11,0.6,10.1,1.7,36.4,19.8,0.5,15.8,0,1.8,2.2
02121,29888,13818,16070,3605,17298,0,67,0,4169,4749,9969,19919,7399,14,2511,45,1883,16192,0,67,0,187,1590,24.8,0,8.4,0.2,6.3,54.2,0,0.2,0,0.6,5.3
02122,23747,11718,12029,8846,6801,25,3607,0,1866,2602,3258,20489,2315,15,889,39,8186,6556,25,3540,0,401,1781,9.7,0.1,3.7,0.2,34.5,27.6,0.1,14.9,0,1.7,7.5
