Zipcode,Estimated_Total_Population_Commuting_to_Work_16_years_and_over,"Estimated_Total_Population_Commuting_to_Work_16_years_and_over_Car, truck, or van -- drove alone","Estimated_Total_Population_Commuting_to_Work_16_years_and_over_Car, truck, or van -- carpooled",Estimated_Total_Population_Commuting_to_Work_16_years_and_over_Public transportation (excluding taxicab),Estimated_Total_Population_Commuting_to_Work_16_years_and_over_Walked,Estimated_Total_Population_Commuting_to_Work_16_years_and_over_Other means,Estimated_Total_Population_Commuting_to_Work_16_years_and_over_Worked from home,"Percent_Total_Population_Commuting_to_Work_16_years_and_over_Car, truck, or van -- drove alone","Percent_Total_Population_Commuting_to_Work_16_years_and_over_Car, truck, or van -- carpooled",Percent_Total_Population_Commuting_to_Work_16_years_and_over_Public transportation (excluding taxicab),Percent_Total_Population_Commuting_to_Work_16_years_and_over_Walked,Percent_Total_Population_Commuting_to_Work_16_years_and_over_Other means,Percent_Total_Population_Commuting_to_Work_16_years_and_over_Worked from home
2045,6055,4369,336,462,157,39,692,72.2,5.5,7.6,2.6,0.6,11.4
2108,2081,190,40,389,891,84,487,9.1,1.9,18.7,42.8,4,23.4
2109,2605,383,10,402,1333,80,397,14.7,0.4,15.4,51.2,3.1,15.2
2110,1154,294,18,138,485,14,205,25.5,1.6,12,42,1.2,17.8
2111,3715,514,84,578,1841,146,552,13.8,2.3,15.6,49.6,3.9,14.9
2113,5481,1065,68,1205,1992,108,1043,19.4,1.2,22,36.3,2,19
2114,8914,1365,40,1523,3626,373,1987,15.3,0.4,17.1,40.7,4.2,22.3
2115,12409,1507,341,2885,5931,562,1183,12.1,2.7,23.2,47.8,4.5,9.5
2116,13202,2536,282,2514,5176,748,1946,19.2,2.1,19,39.2,5.7,14.7
2118,14109,3360,597,3604,4096,618,1834,23.8,4.2,25.5,29,4.4,13
2119,12098,4896,611,4186,897,750,758,40.5,5.1,34.6,7.4,6.2,6.3
2120,7078,1550,288,2546,1943,263,488,21.9,4.1,36,27.5,3.7,6.9
2121,13374,5593,1228,5127,509,455,462,41.8,9.2,38.3,3.8,3.4,3.5
2122,13053,6308,1214,3508,604,531,888,48.3,9.3,26.9,4.6,4.1,6.8
2124,27268,12390,2550,7736,677,1153,2762,45.4,9.4,28.4,2.5,4.2,10.1
2125,16697,6348,1394,5707,1363,462,1423,38,8.3,34.2,8.2,2.8,8.5
2127,23934,8674,802,7353,2276,870,3959,36.2,3.4,30.7,9.5,3.6,16.5
2128,25716,7723,1418,11864,1222,343,3146,30,5.5,46.1,4.8,1.3,12.2
2129,12337,4414,542,2939,1841,620,1981,35.8,4.4,23.8,14.9,5,16.1
2130,24351,7670,960,8200,1798,1525,4198,31.5,3.9,33.7,7.4,6.3,17.2
2131,17874,10075,858,3795,541,552,2053,56.4,4.8,21.2,3,3.1,11.5
2134,11769,3247,461,4070,1239,1087,1665,27.6,3.9,34.6,10.5,9.2,14.1
2135,30055,11783,2054,9823,1755,969,3671,39.2,6.8,32.7,5.8,3.2,12.2
2138,20644,5111,835,3392,5136,1636,4534,24.8,4,16.4,24.9,7.9,22
2139,24006,4468,685,5581,6135,2577,4560,18.6,2.9,23.2,25.6,10.7,19
2140,12746,4050,426,3965,798,880,2627,31.8,3.3,31.1,6.3,6.9,20.6
2141,8824,1892,307,1960,1991,917,1757,21.4,3.5,22.2,22.6,10.4,19.9
2142,2703,373,36,419,1184,84,607,13.8,1.3,15.5,43.8,3.1,22.5
2143,18280,5202,588,3695,2518,2001,4276,28.5,3.2,20.2,13.8,10.9,23.4
2144,18130,5413,734,6159,1397,1129,3298,29.9,4,34,7.7,6.2,18.2
2145,17664,7050,1872,4182,755,1238,2567,39.9,10.6,23.7,4.3,7,14.5
2152,10477,6051,1150,1823,230,179,1044,57.8,11,17.4,2.2,1.7,10
2163,714,89,9,52,453,63,48,12.5,1.3,7.3,63.4,8.8,6.7
2170,11193,5647,917,2215,675,205,1534,50.5,8.2,19.8,6,1.8,13.7
2171,11581,6263,947,2694,510,282,885,54.1,8.2,23.3,4.4,2.4,7.6
2199,738,149,0,103,315,51,120,20.2,0,14,42.7,6.9,16.3
2210,3870,948,108,349,1553,116,796,24.5,2.8,9,40.1,3,20.6
2215,13065,1614,236,2235,6719,517,1744,12.4,1.8,17.1,51.4,4,13.3
