date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,4,32.8,21.6,14.95,24.1,7.378,409
2022-02-02T00:00:00.000Z,3.2,50.1,27.4,19.2,31.95,9.654,620
2022-02-03T00:00:00.000Z,9.8,118.8,18.1,14.4,24.55,9.211,632
2022-02-04T00:00:00.000Z,0,31.7,3.7,1.7,19.45,9.79,608
2022-02-05T00:00:00.000Z,2.1,11.8,5.2,4.09,6.1,1.443,597
2022-02-06T00:00:00.000Z,1.9,14.3,4.8,3.2,6.3,2.065,614
2022-02-07T00:00:00.000Z,4.5,46.5,16.8,9.19,25.7,10.03,613
2022-02-08T00:00:00.000Z,2.6,35.4,10.75,6.7,14.8,5.717,608
2022-02-09T00:00:00.000Z,4.7,28.5,10.3,8.69,13.5,5.802,603
2022-02-10T00:00:00.000Z,3.6,33,21.7,8.3,24.9,8.5,607
2022-02-11T00:00:00.000Z,2.3,29.4,7.6,5.8,10.4,3.496,593
2022-02-12T00:00:00.000Z,1,17.7,7.6,5.35,9.65,3.157,589
2022-02-13T00:00:00.000Z,1.5,30.7,5.9,3,10,4.231,572
2022-02-14T00:00:00.000Z,2.8,18.9,5.2,4.2,7.8,3.396,578
2022-02-15T00:00:00.000Z,1.5,26.7,5.55,3.6,7.2,2.794,614
2022-02-16T00:00:00.000Z,3.4,44.2,13.6,6.9,16.9,6.623,607
2022-02-17T00:00:00.000Z,2.1,40.4,5.6,4.5,6.5,3.87,596
2022-02-18T00:00:00.000Z,0,6.7,1.4,0.75,2,1.008,556
2022-02-19T00:00:00.000Z,1.4,16.2,3.8,2.7,5,2.899,587
2022-02-20T00:00:00.000Z,1.4,32.4,2.9,2.4,3.7,1.787,572
2022-02-21T00:00:00.000Z,3.9,43.1,8.4,6.4,9.5,3.459,610
2022-02-22T00:00:00.000Z,8.7,43.5,17.35,12.9,29.2,10.149,598
2022-02-23T00:00:00.000Z,0.1,75.3,6.1,3.7,9.3,8.18,594
2022-02-24T00:00:00.000Z,1.9,8.7,3.7,3.1,4.2,1.012,584
2022-02-25T00:00:00.000Z,0,12.3,4.4,1.1,5.8,2.526,594
2022-02-26T00:00:00.000Z,2.6,11.8,5.7,4.5,7.1,1.758,620
2022-02-27T00:00:00.000Z,6.6,15.5,11.1,9.3,12.4,2.027,595
2022-02-28T00:00:00.000Z,1.7,11.4,4.2,3.3,5.2,1.901,592
2022-03-01T00:00:00.000Z,2.3,21.9,6.6,3.9,11.7,4.685,340
2022-03-02T00:00:00.000Z,5.5,18.3,8.25,7.2,9,1.751,178
2022-03-03T00:00:00.000Z,1.2,38.1,10.3,3.4,14.5,10.208,592
2022-03-04T00:00:00.000Z,1.6,33,4,2.7,5.3,3.429,585
2022-03-05T00:00:00.000Z,5.3,17.8,10.19,7.4,13.1,3.181,602
2022-03-06T00:00:00.000Z,7.6,40.6,22,14.5,31.1,9.287,593
2022-03-07T00:00:00.000Z,6,40.1,14.1,8.4,24.1,9.256,594
2022-03-08T00:00:00.000Z,0,24,0.8,0.4,3.85,7.179,517
2022-03-09T00:00:00.000Z,1.2,40.6,4,3.2,5.09,3.066,576
2022-03-10T00:00:00.000Z,9.3,40.6,15.8,14,17.2,3.4,602
2022-03-11T00:00:00.000Z,11.3,49.5,23.7,18.14,28.5,6.987,592
2022-03-12T00:00:00.000Z,0,36.8,11.4,3.8,15.5,7.611,599
2022-03-13T00:00:00.000Z,1.1,10.4,2.6,2.1,4,1.576,550
2022-03-14T00:00:00.000Z,4.3,52.7,11.05,9.15,12.9,4.612,592
2022-03-15T00:00:00.000Z,6.1,28.7,9.8,8.25,13.9,3.707,573
2022-03-16T00:00:00.000Z,4.6,32.3,16.8,14.7,18.3,4.131,605
2022-03-17T00:00:00.000Z,13,46,21.95,17.8,26,5.928,612
2022-03-18T00:00:00.000Z,15.4,43.3,25.65,20.39,32,6.562,586
2022-03-19T00:00:00.000Z,6.7,34.6,18.8,11.15,21.7,6.627,597
2022-03-20T00:00:00.000Z,0.4,21.6,5.2,2.1,10.85,4.882,577
2022-03-21T00:00:00.000Z,0,24.2,1.3,0.8,2.4,3.767,447
2022-03-22T00:00:00.000Z,0.1,7.3,1.3,0.8,1.7,0.883,538
2022-03-23T00:00:00.000Z,0.2,3.4,1.1,0.8,1.4,0.437,538
2022-03-24T00:00:00.000Z,0,15,1,0.7,1.5,1.662,546
2022-03-25T00:00:00.000Z,0,11,1.7,0.9,3.4,2.045,504
2022-03-26T00:00:00.000Z,0.7,19.3,4.1,2.2,5.8,2.716,569
2022-03-27T00:00:00.000Z,0,7.6,2.4,1,4.1,1.7,568
2022-03-28T00:00:00.000Z,0.3,5.7,1.5,1.3,1.9,0.719,531
2022-03-29T00:00:00.000Z,0.5,5.7,2.1,1.6,2.4,0.633,573
2022-03-30T00:00:00.000Z,0,15,1.4,1.1,1.8,1.413,539
2022-03-31T00:00:00.000Z,2.1,31.7,6.8,4.1,18.95,8.208,597
2022-04-01T00:00:00.000Z,0.3,19.9,4.9,2.3,7.8,4.993,579
2022-04-02T00:00:00.000Z,0,20.5,1,0.5,1.6,1.407,483
2022-04-03T00:00:00.000Z,1.9,11.7,6.05,3.5,8.1,2.552,564
2022-04-04T00:00:00.000Z,1.5,11.1,4.2,2.9,5.1,1.554,564
2022-04-05T00:00:00.000Z,1.5,15.5,3.2,2.7,4.3,2.011,579
2022-04-06T00:00:00.000Z,5,18.1,8.9,6.8,10.9,2.321,598
2022-04-07T00:00:00.000Z,3.6,75.9,6.8,4.9,8.2,3.882,574
2022-04-08T00:00:00.000Z,0.1,12.1,4.59,1.8,6.8,2.839,591
2022-04-09T00:00:00.000Z,0.4,22.8,7.15,4.5,10.2,4.461,554
2022-04-10T00:00:00.000Z,1.3,6.4,2.9,2.3,3.6,1.054,558
2022-04-11T00:00:00.000Z,0,11.5,0.8,0.5,1.2,1.038,556
2022-04-12T00:00:00.000Z,1.9,13.7,4.7,3.8,6,1.841,582
2022-04-13T00:00:00.000Z,2.3,15.6,4.9,3.7,6.6,2.201,583
2022-04-14T00:00:00.000Z,3.1,23.3,7.45,5.9,8.7,2.858,592
2022-04-15T00:00:00.000Z,1.3,10.8,4.3,2.5,7,2.474,583
2022-04-16T00:00:00.000Z,0.5,7.6,2.9,2.3,4.1,1.233,578
2022-04-17T00:00:00.000Z,0,3.8,1.2,0.5,2.2,0.921,538
2022-04-18T00:00:00.000Z,0.3,3.7,1.2,0.8,1.6,0.576,558
2022-04-19T00:00:00.000Z,0,12.1,2.9,1.8,4.5,2.394,559
2022-04-20T00:00:00.000Z,0,12.7,1.5,0.7,2.4,1.608,558
2022-04-21T00:00:00.000Z,1.3,7.1,3.3,2.6,3.8,0.949,577
2022-04-22T00:00:00.000Z,0.2,9.5,3.2,1.3,5,2.409,586
2022-04-23T00:00:00.000Z,1.2,14.6,2.6,1.8,3.6,1.762,564
2022-04-24T00:00:00.000Z,1.4,15.5,2.7,2.2,4.3,2.639,571
2022-04-25T00:00:00.000Z,0.7,18.2,6.15,1.8,8.19,3.488,562
2022-04-26T00:00:00.000Z,1.5,13.8,3.7,2.7,6.7,2.544,579
2022-04-27T00:00:00.000Z,0,28.6,6.25,3.7,9.6,4.983,570
2022-04-28T00:00:00.000Z,0,3.7,0.9,0.3,2.04,0.979,496
2022-04-29T00:00:00.000Z,0.6,6.9,2.5,1.5,3.2,1.028,561
2022-04-30T00:00:00.000Z,0.3,8.3,2.4,1.8,2.9,1.199,550
2022-05-01T00:00:00.000Z,1,40.9,6.4,4.4,7.4,3.861,590
