Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,AQI_OZONE,AQI_PM10,AQI_PM2.5,CategoryName_OZONE,CategoryName_PM10,CategoryName_PM2.5
Allston,173,144,2831.85,3011,3444,3300,400,4,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
Back Bay,1686,3759,11842.96,6923,9075,5316,1892,6,34.403508771929815,15.106382978723406,34.196666666666665,Good,Good,Good
Bay Village,1249,1711,4292.93,6008,5640,3929,1122,7,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
Brighton,4244,5847,23936.8,19768,22914,17067,5502,8,34.403508771929815,15.106382978723408,34.196666666666665,Good,Good,Good
Charlestown,3301,1811,6461.47,3981,5968,4157,1535,2,34.403508771929815,15.106382978723405,32.73666666666667,Good,Good,Good
Dorchester,17424,6535,25010.76,50778,29284,22749,9819,3,34.40350877192983,15.106382978723403,34.19666666666667,Good,Good,Good
East Boston,8665,4147,14824.6,25459,17845,13698,5180,10,34.403508771929815,15.106382978723408,33.25809523809524,Good,Good,Good
Fenway,453,496,10080.74,9808,7177,6681,1240,7,34.403508771929815,15.106382978723405,34.196666666666665,Good,Good,Good
Harbor Islands,0,12,230.53,370,361,349,179,0,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
Hyde Park,3256,2219,6412.46,11132,4902,2683,2117,0,39.927083333333336,,,Good,nan,nan
Jamaica Plain,7300,4381,16600.57,22247,17366,12985,4570,7,34.40350877192982,15.10638297872341,34.196666666666665,Good,Good,Good
Leather District,465,812,2397.59,2378,2065,1253,457,9,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
Longwood Medical Area,118,11,1824.08,1480,197,186,207,0,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
Mattapan,8859,4073,12396.87,28276,13604,9531,5605,4,37.855742872807014,15.106382978723405,34.196666666666665,Good,nan,nan
Mission Hill,1973,1525,8467.93,10624,10394,8869,2215,10,34.40350877192982,15.106382978723406,34.196666666666665,Good,Good,Good
North End,1028,2122,7217.86,2957,5277,3155,1338,7,34.403508771929815,15.106382978723405,34.196666666666665,Good,Good,Good
Roslindale,13324,8231,24029.32,33106,19480,11249,7286,1,39.31335282651073,15.106382978723405,34.196666666666665,Good,nan,nan
Roxbury,19517,6675,28235.1,67217,39947,33272,12611,10,34.403508771929836,15.106382978723401,34.19666666666668,Good,Good,Good
South Boston,3455,2395,8925.16,4258,7886,5491,2143,0,34.403508771929815,15.106382978723405,34.196666666666665,Good,Good,Good
South Boston Waterfront,392,456,2514.9300000000003,598,1057,601,357,12,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
South End,2552,1421,6516.8,6384,5925,4504,1874,6,34.40350877192982,15.106382978723406,34.196666666666665,Good,Good,Good
West End,467,772,2807.8199999999997,1400,2184,1412,472,1,34.40350877192982,15.106382978723405,34.196666666666665,Good,Good,Good
West Roxbury,4758,3632,9078.9,9121,7254,3622,2580,0,39.927083333333336,,,Good,nan,nan
