OBJECTID,SITE_NAME,DISTRICT,ACRES,ADDRESS,TypeLong
1,Zero Quinn Way,Brighton,0.09718357,Off 1686 Commonwealth Ave.,"Malls, Squares & Plazas"
2,Worcester Square,Allston,1.00413568,120 Hooker Str.,"Parks, Playgrounds & Athletic Fields"
3,Woodworth Square,Allston,15.02524742,235 Western Ave.,"Parks, Playgrounds & Athletic Fields"
4,Woodhaven,Allston,0.04450911,Opposite 101 Franklin Str.,"Malls, Squares & Plazas"
5,Wood Island Bay Edge Park,Allston,10.26309317,,"Parks, Playgrounds & Athletic Fields"
6,Wolf Square,Brighton,5.89186071,61-74 Faneuil Str.,"Parks, Playgrounds & Athletic Fields"
7,Winthrop Square,Brighton,0.80891409,Opposite 18 Ranlegh Rd.,"Parks, Playgrounds & Athletic Fields"
8,Winthrop Playground,Brighton,0.39538045,Opposite 381 Market Str.,Cemeteries & Burying Grounds
9,Wilson Square,Brighton,0.12032328,Opposite 63 Chestnut Hill Ave,"Malls, Squares & Plazas"
10,Wilson Park,Allston,6.96749208,,"Parks, Playgrounds & Athletic Fields"
11,Willowwood Rock,Brighton,0.48183069,,"Malls, Squares & Plazas"
12,Willow Pond Meadow,Brighton,20.77387518,2060 Commonwealth Ave.,Cemeteries & Burying Grounds
13,Williams Square,Brighton,1.47315094,Adair Road/Faneuil Str.,"Parks, Playgrounds & Athletic Fields"
14,White Stadium,Brighton,8.17184526,Adjacent to 91 Foster St,"Parks, Playgrounds & Athletic Fields"
15,Wharf District Park,Brighton,19.03417426,Opposite 44 Lake Shore Rd,"Parks, Playgrounds & Athletic Fields"
16,Westerly Burying Ground,Dorchester,0.22676977,Edison Green,"Malls, Squares & Plazas"
17,West Street,Dorchester,3.30419728,,Cemeteries & Burying Grounds
18,West Roxbury Parkway,Dorchester,0.77917123,43 Downer Ave.,"Parks, Playgrounds & Athletic Fields"
19,West Roxbury High School Marsh,Dorchester,0.37525126,Quincy Str.,"Parks, Playgrounds & Athletic Fields"
20,West Roxbury H.S. Athletic Fields,Dorchester,0.24657505,Opposite 34 Deer Str.,"Parks, Playgrounds & Athletic Fields"
21,West Link Park,Dorchester,3.43397589,,"Parkways, Reservations & Beaches"
22,West Austin Rock,Dorchester,0.35705028,Opposite 344 Bowdoin Str.,"Malls, Squares & Plazas"
23,Wellesley Park,Dorchester,8.04452136,,"Parkways, Reservations & Beaches"
24,Weider Park,Dorchester,6.76240432,28 Denny Str./Playstead Rd,"Parks, Playgrounds & Athletic Fields"
25,Webster Square,Back Bay/Beacon Hill,45.74095034,139 Tremont Str. @VIC,"Parks, Playgrounds & Athletic Fields"
26,Watson Park,Back Bay/Beacon Hill,1.48917439,Opposite 123 Boylston Str.,Cemeteries & Burying Grounds
27,Waltham Square,Back Bay/Beacon Hill,23.50816815,"Boylston, Arlington, Charles","Parks, Playgrounds & Athletic Fields"
28,Walter Street Cemetery,Central Boston,1.85683737,Opposite 110 Tremont,Cemeteries & Burying Grounds
29,Walsh Playground,Back Bay/Beacon Hill,0.11527547,Phillips Str.,"Parks, Playgrounds & Athletic Fields"
