Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,AQI_OZONE,AQI_PM10,AQI_PM2.5,CategoryName_OZONE,CategoryName_PM10,CategoryName_PM2.5,ZipCode
Allston,173,144,2831.85,3011,3444,3300,400,4,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2134
Back Bay,1686,3759,11842.96,6923,9075,5316,1892,6,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2116
Bay Village,1249,1711,4292.93,6008,5640,3929,1122,7,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2116
Brighton,4244,5847,23936.8,19768,22914,17067,5502,8,32.302325581395344,14.156000000000002,33.43157296990346,Good,Good,Good,2135
Charlestown,3301,1811,6461.47,3981,5968,4157,1535,2,32.302325581395344,14.156,29.433602771362587,Good,Good,Good,2129
Dorchester,17424,6535,25010.76,50778,29284,22749,9819,3,32.30232558139536,14.156,33.431572969903456,Good,Good,Good,2122
East Boston,8665,4147,14824.6,25459,17845,13698,5180,10,32.302325581395344,14.156000000000002,30.861449270841472,Good,Good,Good,2128
Fenway,453,496,10080.74,9808,7177,6681,1240,7,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2115
Harbor Islands,0,12,230.53,370,361,349,179,0,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2127
Hyde Park,3256,2219,6412.46,11132,4902,2683,2117,0,35.027517564402814,,,Good,nan,nan,2136
Jamaica Plain,7300,4381,16600.57,22247,17366,12985,4570,7,32.29620629647207,14.156000000000002,33.42869161280196,Good,Good,Good,2121
Leather District,465,812,2397.59,2378,2065,1253,457,9,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2110
Longwood Medical Area,118,11,1824.08,1480,197,186,207,0,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2115
Mattapan,8859,4073,12396.87,28276,13604,9531,5605,4,34.00557057077501,14.156,33.43157296990346,Good,nan,nan,2122
Mission Hill,1973,1525,8467.93,10624,10394,8869,2215,10,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2115
North End,1028,2122,7217.86,2957,5277,3155,1338,7,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2113
Roslindale,13324,8231,24029.32,33106,19480,11249,7286,1,34.723261482578984,14.156,33.4253986332574,Good,nan,nan,2131
Roxbury,19517,6675,28235.1,67217,39947,33272,12611,10,32.302325581395365,14.156,33.43157296990345,Good,Good,Good,2118
South Boston,3455,2395,8925.16,4258,7886,5491,2143,0,32.302325581395344,14.156000000000002,33.43157296990346,Good,Good,Good,2127
South Boston Waterfront,392,456,2514.9300000000003,598,1057,601,357,12,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2127
South End,2552,1421,6516.8,6384,5925,4504,1874,6,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2116
West End,467,772,2807.8199999999997,1400,2184,1412,472,1,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2114
West Roxbury,4758,3632,9078.9,9121,7254,3622,2580,0,35.027517564402814,,,Good,nan,nan,2136
