,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,zipCode
977,2021-01-01,0,EST,Boston,MA,42.35657,-71.06516,OZONE,26,1,Good,2108
978,2021-01-01,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
979,2021-01-02,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
980,2021-01-02,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,15,1,Good,2108
981,2021-01-03,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
982,2021-01-03,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,37,1,Good,2108
983,2021-01-04,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
984,2021-01-04,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
986,2021-01-05,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,29,1,Good,2108
985,2021-01-05,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
987,2021-01-06,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,33,1,Good,2108
989,2021-01-07,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,33,1,Good,2108
988,2021-01-07,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
990,2021-01-08,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
991,2021-01-08,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,30,1,Good,2108
992,2021-01-09,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
993,2021-01-09,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
994,2021-01-10,0,EST,Boston,MA,42.35657,-71.06516,OZONE,30,1,Good,2108
995,2021-01-10,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,38,1,Good,2108
996,2021-01-11,0,EST,Boston,MA,42.35657,-71.06516,OZONE,11,1,Good,2108
997,2021-01-11,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,56,2,Moderate,2108
998,2021-01-12,0,EST,Boston,MA,42.35657,-71.06516,OZONE,19,1,Good,2108
999,2021-01-12,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,56,2,Moderate,2108
1000,2021-01-13,0,EST,Boston,MA,42.35657,-71.06516,OZONE,19,1,Good,2108
1001,2021-01-13,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,50,1,Good,2108
1002,2021-01-14,0,EST,Boston,MA,42.35657,-71.06516,OZONE,7,1,Good,2108
1003,2021-01-14,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,83,2,Moderate,2108
1004,2021-01-15,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
1005,2021-01-15,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,59,2,Moderate,2108
1006,2021-01-16,0,EST,Boston,MA,42.35657,-71.06516,OZONE,32,1,Good,2108
1007,2021-01-16,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,24,1,Good,2108
1008,2021-01-17,0,EST,Boston,MA,42.35657,-71.06516,OZONE,27,1,Good,2108
1009,2021-01-17,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1010,2021-01-18,0,EST,Boston,MA,42.35657,-71.06516,OZONE,25,1,Good,2108
1011,2021-01-18,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,23,1,Good,2108
1012,2021-01-19,0,EST,Boston,MA,42.35657,-71.06516,OZONE,24,1,Good,2108
1013,2021-01-19,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,27,1,Good,2108
1014,2021-01-20,0,EST,Boston,MA,42.35657,-71.06516,OZONE,28,1,Good,2108
1015,2021-01-20,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,34,1,Good,2108
1016,2021-01-21,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
1017,2021-01-21,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,39,1,Good,2108
1018,2021-01-22,0,EST,Boston,MA,42.35657,-71.06516,OZONE,22,1,Good,2108
1019,2021-01-22,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,46,1,Good,2108
1020,2021-01-23,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
1021,2021-01-23,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
1022,2021-01-24,0,EST,Boston,MA,42.35657,-71.06516,OZONE,34,1,Good,2108
1023,2021-01-24,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,19,1,Good,2108
1024,2021-01-25,0,EST,Boston,MA,42.35657,-71.06516,OZONE,31,1,Good,2108
1025,2021-01-25,0,EST,Boston,MA,42.35657,-71.06516,PM2.5,25,1,Good,2108
1026,2021-01-26,0,EST,Boston,MA,42.35657,-71.06516,OZONE,29,1,Good,2108
